date,name,regionalScope,temporalScope,nationwide,subdivisions
2019-01-01,Neujahrstag,Regional,FullDay,1,
2019-01-06,Heilige Drei Könige,Regional,FullDay,0,
2019-04-19,Karfreitag,Regional,FullDay,1,
2019-04-21,Ostersonntag,Regional,FullDay,0,
2019-04-22,Ostermontag,Regional,FullDay,1,
2019-05-01,Tag der Arbeit,Regional,FullDay,1,
2019-05-30,Christi Himmelfahrt,Regional,FullDay,1,
2019-06-09,Pfingstsonntag,Regional,FullDay,0,
2019-06-10,Pfingstmontag,Regional,FullDay,1,
2019-06-20,Fronleichnam,Regional,FullDay,0,
2019-08-15,Mariä Himmelfahrt,Regional,FullDay,0,
2019-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2019-11-01,Allerheiligentag,Regional,FullDay,0,
2019-11-20,Buß- und Bettag,Regional,FullDay,0,
2019-12-25,1. Weihnachtstag,Regional,FullDay,1,
2019-12-26,2. Weihnachtstag,Regional,FullDay,1,
2020-01-01,Neujahr,Regional,FullDay,1,
2020-01-06,Heilige Drei Könige,Regional,FullDay,0,"BY, ST, BW"
2020-04-10,Karfreitag,Regional,FullDay,1,
2020-04-12,Ostersonntag,Regional,FullDay,0,BB
2020-04-13,Ostermontag,Regional,FullDay,1,
2020-05-01,Tag der Arbeit,Regional,FullDay,1,
2020-05-21,Christi Himmelfahrt,Regional,FullDay,1,
2020-05-31,Pfingstsonntag,Regional,FullDay,0,BB
2020-06-01,Pfingstmontag,Regional,FullDay,1,
2020-06-11,Fronleichnam,Regional,FullDay,0,"HE, SL, NW, BY, RP, BW"
2020-08-15,Mariä Himmelfahrt,Regional,FullDay,0,"SL, BY"
2020-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2020-11-01,Allerheiligen,Regional,FullDay,0,"SL, NW, BY, RP, BW"
2020-11-18,Buß- und Bettag,Regional,FullDay,0,SN
2020-12-25,1. Weihnachtsfeiertag,Regional,FullDay,1,
2020-12-26,2. Weihnachtsfeiertag,Regional,FullDay,1,
2021-01-01,Neujahr,Regional,FullDay,1,
2021-01-06,Heilige Drei Könige,Regional,FullDay,0,"BY, ST, BW"
2021-04-02,Karfreitag,Regional,FullDay,1,
2021-04-04,Ostersonntag,Regional,FullDay,0,BB
2021-04-05,Ostermontag,Regional,FullDay,1,
2021-05-01,Tag der Arbeit,Regional,FullDay,1,
2021-05-13,Christi Himmelfahrt,Regional,FullDay,1,
2021-05-23,Pfingstsonntag,Regional,FullDay,0,BB
2021-05-24,Pfingstmontag,Regional,FullDay,1,
2021-06-03,Fronleichnam,Regional,FullDay,0,"HE, SL, NW, BY, RP, BW"
2021-08-15,Mariä Himmelfahrt,Regional,FullDay,0,"SL, BY"
2021-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2021-11-01,Allerheiligen,Regional,FullDay,0,"SL, NW, BY, RP, BW"
2021-11-17,Buß- und Bettag,Regional,FullDay,0,SN
2021-12-25,1. Weihnachtsfeiertag,Regional,FullDay,1,
2021-12-26,2. Weihnachtsfeiertag,Regional,FullDay,1,
2022-01-01,Neujahr,Regional,FullDay,1,
2022-01-06,Heilige Drei Könige,Regional,FullDay,0,"BY, ST, BW"
2022-04-15,Karfreitag,Regional,FullDay,1,
2022-04-17,Ostersonntag,Regional,FullDay,0,BB
2022-04-18,Ostermontag,Regional,FullDay,1,
2022-05-01,Tag der Arbeit,Regional,FullDay,1,
2022-05-26,Christi Himmelfahrt,Regional,FullDay,1,
2022-06-05,Pfingstsonntag,Regional,FullDay,0,BB
2022-06-06,Pfingstmontag,Regional,FullDay,1,
2022-06-16,Fronleichnam,Regional,FullDay,0,"HE, SL, NW, BY, RP, BW"
2022-08-15,Mariä Himmelfahrt,Regional,FullDay,0,"SL, BY"
2022-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2022-11-01,Allerheiligen,Regional,FullDay,0,"SL, NW, BY, RP, BW"
2022-11-16,Buß- und Bettag,Regional,FullDay,0,SN
2022-12-25,1. Weihnachtsfeiertag,Regional,FullDay,1,
2022-12-26,2. Weihnachtsfeiertag,Regional,FullDay,1,
2023-01-01,Neujahr,Regional,FullDay,1,
2023-01-06,Heilige Drei Könige,Regional,FullDay,0,"BY, ST, BW"
2023-04-07,Karfreitag,Regional,FullDay,1,
2023-04-09,Ostersonntag,Regional,FullDay,0,BB
2023-04-10,Ostermontag,Regional,FullDay,1,
2023-05-01,Tag der Arbeit,Regional,FullDay,1,
2023-05-18,Christi Himmelfahrt,Regional,FullDay,1,
2023-05-28,Pfingstsonntag,Regional,FullDay,0,BB
2023-05-29,Pfingstmontag,Regional,FullDay,1,
2023-06-08,Fronleichnam,Regional,FullDay,0,"HE, SL, NW, BY, RP, BW"
2023-08-15,Mariä Himmelfahrt,Regional,FullDay,0,"SL, BY"
2023-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2023-11-01,Allerheiligen,Regional,FullDay,0,"SL, NW, BY, RP, BW"
2023-11-22,Buß- und Bettag,Regional,FullDay,0,SN
2023-12-25,1. Weihnachtsfeiertag,Regional,FullDay,1,
2023-12-26,2. Weihnachtsfeiertag,Regional,FullDay,1,
2024-01-01,Neujahr,Regional,FullDay,1,
2024-01-06,Heilige Drei Könige,Regional,FullDay,0,"BY, ST, BW"
2024-03-29,Karfreitag,Regional,FullDay,1,
2024-03-31,Ostersonntag,Regional,FullDay,0,BB
2024-04-01,Ostermontag,Regional,FullDay,1,
2024-05-01,Tag der Arbeit,Regional,FullDay,1,
2024-05-09,Christi Himmelfahrt,Regional,FullDay,1,
2024-05-19,Pfingstsonntag,Regional,FullDay,0,BB
2024-05-20,Pfingstmontag,Regional,FullDay,1,
2024-05-30,Fronleichnam,Regional,FullDay,0,"HE, SL, NW, BY, RP, BW"
2024-08-15,Mariä Himmelfahrt,Regional,FullDay,0,"SL, BY"
2024-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2024-11-01,Allerheiligen,Regional,FullDay,0,"SL, NW, BY, RP, BW"
2024-11-20,Buß- und Bettag,Regional,FullDay,0,SN
2024-12-25,1. Weihnachtsfeiertag,Regional,FullDay,1,
2024-12-26,2. Weihnachtsfeiertag,Regional,FullDay,1,
2025-01-01,Neujahr,Regional,FullDay,1,
2025-01-06,Heilige Drei Könige,Regional,FullDay,0,"BY, ST, BW"
2025-04-18,Karfreitag,Regional,FullDay,1,
2025-04-20,Ostersonntag,Regional,FullDay,0,BB
2025-04-21,Ostermontag,Regional,FullDay,1,
2025-05-01,Tag der Arbeit,Regional,FullDay,1,
2025-05-29,Christi Himmelfahrt,Regional,FullDay,1,
2025-06-08,Pfingstsonntag,Regional,FullDay,0,BB
2025-06-09,Pfingstmontag,Regional,FullDay,1,
2025-06-19,Fronleichnam,Regional,FullDay,0,"HE, SL, NW, BY, RP, BW"
2025-08-15,Mariä Himmelfahrt,Regional,FullDay,0,"SL, BY"
2025-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2025-11-01,Allerheiligen,Regional,FullDay,0,"SL, NW, BY, RP, BW"
2025-11-19,Buß- und Bettag,Regional,FullDay,0,SN
2025-12-25,1. Weihnachtsfeiertag,Regional,FullDay,1,
2025-12-26,2. Weihnachtsfeiertag,Regional,FullDay,1,
2026-01-01,Neujahr,Regional,FullDay,1,
2026-01-06,Heilige Drei Könige,Regional,FullDay,0,"BY, ST, BW"
2026-04-03,Karfreitag,Regional,FullDay,1,
2026-04-05,Ostersonntag,Regional,FullDay,0,BB
2026-04-06,Ostermontag,Regional,FullDay,1,
2026-05-01,Tag der Arbeit,Regional,FullDay,1,
2026-05-14,Christi Himmelfahrt,Regional,FullDay,1,
2026-05-24,Pfingstsonntag,Regional,FullDay,0,BB
2026-05-25,Pfingstmontag,Regional,FullDay,1,
2026-06-04,Fronleichnam,Regional,FullDay,0,"HE, SL, NW, BY, RP, BW"
2026-08-15,Mariä Himmelfahrt,Regional,FullDay,0,"SL, BY"
2026-10-03,Tag der Deutschen Einheit,National,FullDay,1,
2026-11-01,Allerheiligen,Regional,FullDay,0,"SL, NW, BY, RP, BW"
2026-11-18,Buß- und Bettag,Regional,FullDay,0,SN
2026-12-25,1. Weihnachtsfeiertag,Regional,FullDay,1,
2026-12-26,2. Weihnachtsfeiertag,Regional,FullDay,1,
