name,start,end,concert
Faschingszug ,2019-03-03 12:00:00,2019-03-03 23:59:59,0
Frühjahrsvolksfest,2019-03-30 14:00:00,2019-03-30 23:59:59,0
Frühjahrsvolksfest,2019-03-31 12:00:00,2019-03-31 22:30:00,0
Frühjahrsvolksfest,2019-04-01 14:00:00,2019-04-01 23:00:00,0
Frühjahrsvolksfest,2019-04-02 14:00:00,2019-04-02 23:00:00,0
Frühjahrsvolksfest,2019-04-03 14:00:00,2019-04-03 23:00:00,0
Frühjahrsvolksfest,2019-04-04 14:00:00,2019-04-04 23:00:00,0
Frühjahrsvolksfest,2019-04-05 14:00:00,2019-04-05 23:59:59,0
Frühjahrsvolksfest,2019-04-06 14:00:00,2019-04-06 23:59:59,0
Frühjahrsvolksfest,2019-04-07 12:00:00,2019-04-07 22:30:00,0
Frühjahrsvolksfest,2019-04-08 14:00:00,2019-04-08 23:00:00,0
Frühjahrsvolksfest,2019-04-09 14:00:00,2019-04-09 23:00:00,0
Frühjahrsvolksfest,2019-04-10 14:00:00,2019-04-10 23:00:00,0
Frühjahrsvolksfest,2019-04-11 14:00:00,2019-04-11 23:00:00,0
Frühjahrsvolksfest,2019-04-12 14:00:00,2019-04-12 23:59:59,0
Frühjahrsvolksfest,2019-04-13 14:00:00,2019-04-13 23:59:59,0
Residenzlauf,2019-04-14 10:30:00,2019-04-14 17:00:00,0
Frühjahrsvolksfest,2019-04-14 12:00:00,2019-04-14 22:30:00,0
Mozartfest,2019-05-24 00:00:00,2019-05-24 23:59:00,0
Mozartfest,2019-05-25 00:00:00,2019-05-25 23:59:00,0
Mozartfest,2019-05-26 00:00:00,2019-05-26 23:59:00,0
Mozartfest,2019-05-27 00:00:00,2019-05-27 23:59:00,0
Mozartfest,2019-05-28 00:00:00,2019-05-28 23:59:00,0
Mozartfest,2019-05-29 00:00:00,2019-05-29 23:59:00,0
Weindorf,2019-05-29 11:00:00,2019-05-29 23:59:59,0
Mozartfest,2019-05-30 00:00:00,2019-05-30 23:59:00,0
Afrika Festival,2019-05-30 11:00:00,2019-05-30 23:59:59,0
Weindorf,2019-05-30 11:00:00,2019-05-30 23:59:59,0
Mozartfest,2019-05-31 00:00:00,2019-05-31 23:59:00,0
Weindorf,2019-05-31 11:00:00,2019-05-31 23:59:59,0
Afrika Festival,2019-05-31 11:00:00,2019-05-31 23:59:59,0
Mozartfest,2019-06-01 00:00:00,2019-06-01 23:59:00,0
Afrika Festival,2019-06-01 11:00:00,2019-06-01 23:59:59,0
Weindorf,2019-06-01 11:00:00,2019-06-01 23:59:59,0
Mozartfest,2019-06-02 00:00:00,2019-06-02 23:59:00,0
Weindorf,2019-06-02 11:00:00,2019-06-02 23:59:59,0
Afrika Festival,2019-06-02 11:00:00,2019-06-02 23:59:59,0
Mozartfest,2019-06-03 00:00:00,2019-06-03 23:59:00,0
Weindorf,2019-06-03 11:00:00,2019-06-03 23:59:59,0
Mozartfest,2019-06-04 00:00:00,2019-06-04 23:59:00,0
