start,end,jmu,thws
2018-10-01,2019-01-25,0,1
2018-10-15,2019-02-09,1,0
2019-03-18,2019-07-12,0,1
2019-04-24,2019-07-27,1,0
2019-10-01,2020-01-24,0,1
2019-10-14,2020-02-07,1,0
2020-04-20,2020-07-24,1,0
2020-04-20,2020-07-17,0,1
2020-10-01,2021-01-22,0,1
2020-11-02,2021-02-12,1,0
2021-03-15,2021-07-09,0,1
2021-04-12,2021-09-30,1,0
2021-10-04,2022-01-25,0,1
2021-10-18,2022-02-11,1,0
2022-03-15,2022-07-08,0,1
2022-04-25,2022-07-29,1,0
2022-10-04,2023-01-25,0,1
2022-10-17,2023-02-10,1,0
2023-03-15,2023-07-07,0,1
2023-04-17,2023-07-21,1,0
2023-10-02,2024-01-25,0,1
2023-10-16,2024-02-09,1,0
2024-03-18,2024-07-10,0,1
2024-04-15,2024-07-19,1,0
2024-10-01,2025-01-24,0,1
2024-10-14,2025-02-07,1,0
2025-03-15,2025-07-10,0,1
2025-04-23,2025-07-25,1,0
2025-10-01,2026-01-23,0,1
2025-10-13,2026-02-06,1,0
